"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
730	0,00210612	0,0254536	0,071	0	1,39482	0,0251804	1	0	-0,997894	-0,974546	-0,97482	0,168211	1,59447	1,42626	0,731902	104,388	52,56	0	0
740	0,00222666	0,0261634	0,072	0	1,39424	0,0258763	1	0	-0,997773	-0,973837	-0,974124	0,172944	1,59508	1,42213	0,744065	105,816	53,28	0	0
750	0,00235228	0,0268825	0,073	0	1,39365	0,0265809	1	0	-0,997648	-0,973117	-0,973419	0,177743	1,59569	1,41795	0,756331	107,244	54	0	0
760	0,00248312	0,0276109	0,074	0	1,39305	0,0272944	1	0	-0,997517	-0,972389	-0,972706	0,182607	1,59631	01/01/4137	0,768702	108,671	54,72	0	0
770	0,00261932	0,0283484	0,075	0	1,39243	0,0280165	1	0	-0,997381	-0,971652	-0,971983	0,187537	1,59693	1,40939	0,78118	110,099	55,44	0	0
780	0,00276101	0,0290951	0,076	0	1,39181	0,0287474	1	0	-0,997239	-0,970905	-0,971253	0,192532	1,59756	1,40502	0,793768	111,526	56,16	0	0
790	0,00290835	0,0298508	0,077	0	1,39118	0,0294868	1	0	-0,997092	-0,970149	-0,970513	0,197593	1,59819	1,40059	0,80647	112,954	56,88	0	0
800	0,00306147	0,0306157	0,078	0	1,39054	0,0302349	1	0	-0,996939	-0,969384	-0,969765	0,20272	1,59882	01/01/3961	0,819287	114,381	57,6	0	0
810	0,00322052	0,0313895	0,079	0	1,38988	0,0309914	1	0	-0,996779	-0,968611	-0,969009	0,207912	1,59946	1,39155	0,832223	115,808	58,32	0	0
820	0,00338566	0,0321722	0,08	0	1,38922	0,0317565	1	0	-0,996614	-0,967828	-0,968243	0,213169	01/01/6001	1,38693	0,845281	117,235	59,04	0	0
830	0,00355702	0,0329639	0,081	0	1,38855	0,03253	1	0	-0,996443	-0,967036	-0,96747	0,218492	1,60075	1,38226	0,858463	118,662	59,76	0	0
840	0,00373476	0,0337644	0,082	0	1,38786	0,0333118	1	0	-0,996265	-0,966236	-0,966688	0,22388	01/01/6014	1,37752	0,871773	120,088	60,48	0	0
850	0,00391903	0,0345737	0,083	0	1,38716	0,034102	1	0	-0,996081	-0,965426	-0,965898	0,229334	1,60205	1,37272	0,885214	121,515	61,2	0	0
860	0,00410999	0,0353917	0,084	0	1,38646	0,0349004	1	0	-0,99589	-0,964608	-0,9651	0,234853	1,60271	1,36785	0,89879	122,941	61,92	0	0
870	0,00430778	0,0362184	0,085	0	1,38574	0,035707	1	0	-0,995692	-0,963782	-0,964293	0,240438	1,60336	1,36293	0,912504	124,367	62,64	0	0
880	0,00451257	0,0370536	0,086	0	1,38501	0,0365218	1	0	-0,995487	-0,962946	-0,963478	0,246088	1,60402	1,35794	0,926359	125,794	63,36	0	0
890	0,00472452	0,0378974	0,087	0	1,38427	0,0373446	1	0	-0,995275	-0,962103	-0,962655	0,251804	1,60469	1,35288	0,940358	127,22	64,08	0	0
900	0,00494377	0,0387497	0,088	0	1,38352	0,0381754	1	0	-0,995056	-0,96125	-0,961825	0,257584	1,60535	1,34777	0,954507	128,645	64,8	0	0
910	0,00517049	0,0396103	0,089	0	1,38276	0,0390142	1	0	-0,99483	-0,96039	-0,960986	0,263431	1,60602	1,34259	0,968807	130,071	65,52	0	0
920	0,00540485	0,0404793	0,09	0	1,38199	0,0398608	1	0	-0,994595	-0,959521	-0,960139	0,269342	1,60669	1,33735	0,983265	131,497	66,24	0	0
930	0,005647	0,0413565	0,091	0	1,38121	0,0407153	1	0	-0,994353	-0,958644	-0,959285	0,275319	1,60736	1,33204	0,997882	132,922	66,96	0	0
940	0,0058971	0,0422418	0,092	0	1,38041	0,0415774	1	0	-0,994103	-0,957758	-0,958423	0,281361	1,60803	1,32667	1,01266	134,347	67,68	0	0
950	0,00615533	0,0431352	0,093	0	1,37961	0,0424472	1	0	-0,993845	-0,956865	-0,957553	0,287469	1,60871	1,32124	1,02762	135,772	68,4	0	0
960	0,00642184	0,0440367	0,094	0	1,37879	0,0433247	1	0	-0,993578	-0,955963	-0,956675	0,293641	1,60938	1,31574	1,04274	137,197	69,12	0	0
970	0,00669681	0,044946	0,095	0	1,37796	0,0442096	1	0	-0,993303	-0,955054	-0,95579	0,29988	1,61005	1,31017	1,05804	138,622	69,84	0	0
980	0,0069804	0,0458632	0,096	0	1,37712	0,0451019	1	0	-0,99302	-0,954137	-0,954898	0,306183	1,61073	1,30455	1,07353	140,046	70,56	0	0
990	0,00727278	0,046788	0,097	0	1,37627	0,0460016	1	0	-0,992727	-0,953212	-0,953998	0,312552	01/01/6114	1,29885	01/01/892	141,471	71,28	0	0
1000	0,00757412	0,0477206	0,098	0	1,37541	0,0469085	1	0	-0,992426	-0,952279	-0,953091	0,318985	1,61208	1,29309	1,10506	142,895	72	0	0
1010	0,00788458	0,0486606	0,099	0	1,37453	0,0478227	1	0	-0,992115	-0,951339	-0,952177	0,325484	1,61275	1,28727	1,12113	144,319	72,72	0	0
1020	0,00820435	0,0496081	0,1	0	1,37365	0,0487439	1	0	-0,991796	-0,950392	-0,951256	0,332049	1,61343	1,28138	1,13739	145,743	73,44	0	0
1030	0,00853359	0,0505629	0,101	0	1,37275	0,0496721	1	0	-0,991466	-0,949437	-0,950328	0,338678	01/01/6141	1,27542	1,15386	147,166	74,16	0	0
1040	0,00887248	0,051525	0,102	0	1,37184	0,0506072	1	0	-0,991128	-0,948475	-0,949393	0,345373	1,61477	01/01/2694	1,17055	148,589	74,88	0	0
1050	0,00922118	0,0524942	0,103	0	1,37092	0,0515492	1	0	-0,990779	-0,947506	-0,948451	0,352132	1,61544	1,26331	1,18746	150,013	75,6	0	0
1060	0,00957988	0,0534704	0,104	0	1,36998	0,0524979	1	0	-0,99042	-0,94653	-0,947502	0,358957	1,61611	1,25715	1,20459	151,435	76,32	0	0
1070	0,00994874	0,0544534	0,105	0	1,36904	0,0534532	1	0	-0,990051	-0,945547	-0,946547	0,365847	1,61677	1,25093	1,22196	152,858	77,04	0	0
1080	0,0103279	0,0554433	0,106	0	1,36808	0,054415	1	0	-0,989672	-0,944557	-0,945585	0,372802	1,61744	1,24464	1,23956	154,28	77,76	0	0
